 ,Problem 1 : Accounts Receivable Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sr No.,Date of Invoice,Product,Total Invoice Amount,Customer,OS Bill due,,,In the given Data Apply Conditional Formatting,,,,,,,,,,
1,02-04-2020,PC,3500,Mr.Sanjay Jadhav,1000,,,1 ) Create a Drop Down of Date,,,,,,,,,,
2,05-05-2020,Keyboard,5000,Mr. Ajay Yadav,1500,,,2) When you Select a Date in a Drop down all the entries of that date in the given data should be Highlighted,,,,,,,,,,
3,03-02-2021,Monitor,55000,Ms. Shilpa Jadhav,25000,,,,,,,,,,,,,
4,04-01-2021,CPU,45000,Mr. Shankar Gaikwad,18000,,,DATE,,,,,,,,,,
5,19-07-2020,Books,1200,Ms. Sangita Shaikh,500,,,,,,,,,,,,,
6,06-04-2020,Stationary,1500,Mr. Chentan Mane,300,,,03-02-2021,,,,,,,,,,
7,07-03-2021,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
8,02-01-2020,PC,3500,Mr.Sanjay Jadhav,1000,,,,,,,,,,,,,
9,05-10-2020,Keyboard,5000,Mr. Ajay Yadav,1500,,,,,,,,,,,,,
10,03-07-2020,Monitor,55000,Ms. Shilpa Jadhav,25000,,,,,,,,,,,,,
11,04-06-2020,CPU,45000,Mr. Shankar Gaikwad,18000,,,,,,,,,,,,,
12,19-01-2021,Books,1200,Ms. Sangita Shaikh,500,,,,,,,,,,,,,
13,06-03-2021,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
14,07-04-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
15,07-11-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
16,02-01-2021,PC,3500,Mr.Sanjay Jadhav,1000,,,,,,,,,,,,,
17,05-05-2020,Keyboard,5000,Mr. Ajay Yadav,1500,,,,,,,,,,,,,
18,02-09-2020,PC,3500,Mr.Sanjay Jadhav,1000,,,,,,,,,,,,,
19,05-06-2020,Keyboard,5000,Mr. Ajay Yadav,1500,,,,,,,,,,,,,
20,03-02-2021,Monitor,55000,Ms. Shilpa Jadhav,25000,,,,,,,,,,,,,
21,04-02-2021,CPU,45000,Mr. Shankar Gaikwad,18000,,,,,,,,,,,,,
22,19-07-2020,Books,1200,Ms. Sangita Shaikh,500,,,,,,,,,,,,,
23,06-11-2020,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
24,07-03-2021,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
25,10-01-2020,CPU,45000,Mr. Shankar Gaikwad,18000,,,,,,,,,,,,,
26,19-09-2020,Books,1200,Ms. Sangita Shaikh,500,,,,,,,,,,,,,
27,06-02-2021,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
28,07-08-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
29,06-07-2020,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
30,07-06-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
31,06-07-2020,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
32,07-09-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
33,04-06-2020,CPU,45000,Mr. Shankar Gaikwad,18000,,,,,,,,,,,,,
34,04-03-2021,CPU,45000,Mr. Shankar Gaikwad,18000,,,,,,,,,,,,,
35,19-07-2020,Books,1200,Ms. Sangita Shaikh,500,,,,,,,,,,,,,
36,06-03-2021,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
37,07-04-2020,Food Allowance,2000,Ms. Anjali Pawar,1300,,,,,,,,,,,,,
38,06-10-2020,Stationary,1500,Mr. Chentan Mane,300,,,,,,,,,,,,,
39,02-04-2020,PC,3500,Mr.Sanjay Jadhav,1000,,,,,,,,,,,,,
40,05-08-2020,Keyboard,5000,Mr. Ajay Yadav,1500,,,,,,,,,,,,,
